query,vehicle,AP,first_correct_rank,box_area,brightness,n_positives,has_twin,sim_best_true,sim_best_wrong,best_true,clean_top5
03ae843cdda948f2bbb02f08fe1a1573,1235,1.0,1,1062271,116.8013844515442,1,True,0.848174,0.4941914,2e150e699d0b4ab5976bd9a76fdac68f,2e150e699d0b4ab5976bd9a76fdac68f|c842dfe7724e4bb8b99f68a7906bcf91|5435b42467f54fe0a00df76c745d2dc6|1aa9d0185c7e47c88f8b55c69888488a|dfefb591df2b48b98813a73f4f6ed738
ed171b78916c424eb19e30b75bbad04a,1235,1.0,1,1024594,106.67910509850905,1,True,0.79277873,0.45753628,152dcd53af3b4288b177e95d1070844d,152dcd53af3b4288b177e95d1070844d|c842dfe7724e4bb8b99f68a7906bcf91|5435b42467f54fe0a00df76c745d2dc6|dfefb591df2b48b98813a73f4f6ed738|a39686ca19aa487d8c14d1fcfffbc84b
481c0d40e54742b1b4750ce991219a8e,1235,1.0,1,769212,117.32459186159844,1,True,0.84986174,0.4907892,2e150e699d0b4ab5976bd9a76fdac68f,2e150e699d0b4ab5976bd9a76fdac68f|c842dfe7724e4bb8b99f68a7906bcf91|5435b42467f54fe0a00df76c745d2dc6|1aa9d0185c7e47c88f8b55c69888488a|dfefb591df2b48b98813a73f4f6ed738
4608901d230f48f9840541130e900431,1235,1.0,1,304479,100.37268915979854,1,True,0.8697577,0.43897784,152dcd53af3b4288b177e95d1070844d,152dcd53af3b4288b177e95d1070844d|c842dfe7724e4bb8b99f68a7906bcf91|5435b42467f54fe0a00df76c745d2dc6|1aa9d0185c7e47c88f8b55c69888488a|dfefb591df2b48b98813a73f4f6ed738
f3066b470a2c4d27a1d14648782be993,953,1.0,1,250980,124.4269893685567,1,True,0.7653128,0.4407673,8ded18787e674f9e9b27dffa935829dd,8ded18787e674f9e9b27dffa935829dd|3a311352b3ff49ddb405d6a9616643e8|6b3a1cb221e7469693e9c0bc84ac432e|c624d1e2d34b4635bc9b0f5730bae694|5e553240676d4d238c48ded9ba3ff19c
5147bedc824d487eb70ba45cbe4c07b2,953,1.0,1,250275,117.86346340673575,1,True,0.80129445,0.4813242,8ded18787e674f9e9b27dffa935829dd,8ded18787e674f9e9b27dffa935829dd|3a311352b3ff49ddb405d6a9616643e8|6b3a1cb221e7469693e9c0bc84ac432e|c624d1e2d34b4635bc9b0f5730bae694|5e553240676d4d238c48ded9ba3ff19c
c65434f1b2074a5caf649a13792d8c74,113,1.0,1,192610,127.86113911290323,1,True,0.64178354,0.3727344,e3cf16f7d01f4f70baef3970bba4a3a5,e3cf16f7d01f4f70baef3970bba4a3a5|b17fd1bfdb3e41bea6bcce4499eb424d|c979f0fa874e4a5aa25608962bbe9e62|800f03870dac489993d2e7d84827f52c|0d23578662464642a14d0a673e1be39a
2b62b2e1a5eb4845b0d65ca021da1989,113,1.0,1,193264,121.80354759786476,1,True,0.626417,0.2998096,e3cf16f7d01f4f70baef3970bba4a3a5,e3cf16f7d01f4f70baef3970bba4a3a5|c979f0fa874e4a5aa25608962bbe9e62|0bc3b834d3544a709653998b775f591c|b17fd1bfdb3e41bea6bcce4499eb424d|800f03870dac489993d2e7d84827f52c
c52d922508f1417b94aca863e37fedbf,113,1.0,1,335778,115.73391666666667,1,True,0.6018449,0.37625265,1892d5e41fdf4443a9a39cb06238906e,1892d5e41fdf4443a9a39cb06238906e|b17fd1bfdb3e41bea6bcce4499eb424d|0d23578662464642a14d0a673e1be39a|90eb0706e2124a2d89cd5c268f594c42|572cbdfc87794a6882e191ae1c90b6e6
c30b7b373fa5407cafbec7218d2dab0a,113,1.0,1,335790,91.89872071175951,1,True,0.59054327,0.24232402,1892d5e41fdf4443a9a39cb06238906e,1892d5e41fdf4443a9a39cb06238906e|90eb0706e2124a2d89cd5c268f594c42|a94ad7748ece45ca84ed5604bcf5f596|e58c4b75bd8244bb987d8f1c9f480bed|24854f6058d0495bb731f392cd390f66
